TP_BUZ_NO,TP_BUZ_NM,regions,weighted_business_health_score,structural_strength_region_pct,healthy_or_strong_region_pct,stable_growth_region_pct,real_amt_positive_region_pct,cnt_positive_region_pct,population_adjusted_positive_region_pct,dominant_trend_type,dominant_trend_region_pct,fastest_growing_age_mode,fastest_age_mode_region_pct,external_trend,marketing_hypothesis,source_url,source_type,bc_verification_status
4010,편의점,255,81.52488242496882,75.68627450980392,98.0392156862745,70.19607843137254,99.2156862745098,99.2156862745098,56.07843137254902,가성비·빈도성장,83.92156862745098,60대 이상,72.94117647058823,근거리 식사·차별화 HMR·가성비 품질,식사대용·제과·협업상품 테스트,https://www.bgfretail.com/press/view/?id=1798,기업 공식 판매신호,상품데이터 필요
8021,스넥,255,73.3447860094915,58.03921568627452,89.41176470588236,35.294117647058826,94.50980392156862,94.11764705882352,51.37254901960784,수요·객단가 동반성장,54.90196078431373,60대 이상,80.3921568627451,초가성비·집밥경제,소액 다빈도·포장 묶음 가설,https://www.mafra.go.kr/bbs/home/798/594990/download.do,정부 보고서,배달·포장 필요
8006,서양음식,255,68.28883954842358,62.745098039215684,85.49019607843137,23.52941176470588,91.76470588235294,96.86274509803921,61.568627450980394,가성비·빈도성장,87.45098039215686,60대 이상,64.31372549019608,가치비·진정성 미식,시그니처 메뉴+입문가 메뉴 이중전략 가설,https://www.mafra.go.kr/bbs/home/798/594990/download.do,정부 보고서,메뉴·가격 필요
8001,일반한식,255,62.380015318414834,54.509803921568626,83.52941176470588,11.76470588235294,91.37254901960785,94.90196078431372,54.509803921568626,가성비·빈도성장,69.80392156862744,60대 이상,94.90196078431372,서바이벌 다이닝·K-푸드 투어,1인·가성비 정식과 외국인 메뉴 가설,https://www.mafra.go.kr/bbs/home/798/594990/download.do,정부 보고서,BC외국인비중 검증가능
8003,한정식,18,59.63238999184616,50.0,72.22222222222221,16.666666666666664,72.22222222222221,83.33333333333334,50.0,수요·객단가 동반성장,44.44444444444444,60대 이상,64.70588235294117,진정성 미식·K-푸드 체험,지역성·스토리·외국인 체험상품 가설,https://www.mafra.go.kr/bbs/home/798/594990/download.do,정부 보고서,BC외국인비중 검증가능
8002,갈비전문점,82,59.54298062284115,39.02439024390244,64.63414634146342,9.75609756097561,79.26829268292683,79.26829268292683,46.34146341463415,가성비·빈도성장,48.78048780487805,60대 이상,65.85365853658537,가성비&가치비·진정성 미식,세트가격과 원산지·품질 메시지 A/B 가설,https://www.mafra.go.kr/bbs/home/798/594990/download.do,정부 보고서,메뉴·가격 필요
8004,일식회집,246,54.43183380286779,46.7479674796748,64.22764227642277,9.34959349593496,69.51219512195121,86.58536585365853,58.536585365853654,가성비·빈도성장,60.16260162601627,60대 이상,67.07317073170732,가치비·진정성 미식,점심 가성비와 저녁 프리미엄 이중전략 가설,https://www.mafra.go.kr/bbs/home/798/594990/download.do,정부 보고서,시간대·메뉴 필요
8301,제과점,254,48.838496709216074,43.7007874015748,57.874015748031496,5.118110236220472,61.417322834645674,85.8267716535433,57.874015748031496,가성비·빈도성장,55.51181102362205,60대 이상,84.64566929133859,가성비+전문점 품질·편의점 제과 경쟁,베스트셀러 재해석·소용량·차별화 가설,https://www.bgfretail.com/press/view/?id=1817,기업 공식 판매신호,외부채널 경쟁신호
4020,슈퍼마켓,255,46.9889418728271,36.07843137254902,60.0,10.980392156862745,61.1764705882353,92.15686274509804,56.86274509803921,가성비·빈도성장,52.156862745098046,60대 이상,95.29411764705881,집밥경제·소용량 장보기,신선·반조리·소포장 묶음 가설,https://www.mafra.go.kr/bbs/home/798/594990/download.do,정부 보고서,부분검증
8005,중국음식,255,37.53595612070544,32.94117647058823,51.76470588235295,6.666666666666667,56.07843137254902,78.82352941176471,60.0,가성비·빈도성장,50.588235294117645,60대 이상,67.84313725490196,서바이벌 다이닝·올데이 올라운더,1인식·세트·포장 빈도 회복 가설,https://www.mafra.go.kr/bbs/home/798/594990/download.do,정부 보고서,시간대·배달 필요
4004,대형할인점,197,18.10722145358507,4.568527918781726,12.18274111675127,0.5076142131979695,10.152284263959391,25.888324873096447,54.82233502538071,수요수축,74.11167512690355,60대 이상,85.78680203045685,집밥경제·초미세가격,간편식·소용량·가격대 최적화 가설,https://www.mafra.go.kr/bbs/home/798/594990/download.do,정부 보고서,부분검증
