TP_BUZ_NO,TP_BUZ_NM,regions,weighted_business_health_score,structural_strength_region_pct,healthy_or_strong_region_pct,stable_growth_region_pct,real_amt_positive_region_pct,cnt_positive_region_pct,population_adjusted_positive_region_pct,dominant_trend_type,dominant_trend_region_pct,fastest_growing_age_mode,fastest_age_mode_region_pct
4010,편의점,255,81.52488242496882,75.68627450980392,98.0392156862745,70.19607843137254,99.2156862745098,99.2156862745098,56.07843137254902,가성비·빈도성장,83.92156862745098,60대 이상,72.94117647058823
8021,스넥,255,73.3447860094915,58.03921568627452,89.41176470588236,35.294117647058826,94.50980392156862,94.11764705882352,51.37254901960784,수요·객단가 동반성장,54.90196078431373,60대 이상,80.3921568627451
8006,서양음식,255,68.28883954842358,62.745098039215684,85.49019607843137,23.52941176470588,91.76470588235294,96.86274509803921,61.568627450980394,가성비·빈도성장,87.45098039215686,60대 이상,64.31372549019608
8001,일반한식,255,62.380015318414834,54.509803921568626,83.52941176470588,11.76470588235294,91.37254901960785,94.90196078431372,54.509803921568626,가성비·빈도성장,69.80392156862744,60대 이상,94.90196078431372
8003,한정식,18,59.63238999184616,50.0,72.22222222222221,16.666666666666664,72.22222222222221,83.33333333333334,50.0,수요·객단가 동반성장,44.44444444444444,60대 이상,64.70588235294117
8002,갈비전문점,82,59.54298062284115,39.02439024390244,64.63414634146342,9.75609756097561,79.26829268292683,79.26829268292683,46.34146341463415,가성비·빈도성장,48.78048780487805,60대 이상,65.85365853658537
8004,일식회집,246,54.43183380286779,46.7479674796748,64.22764227642277,9.34959349593496,69.51219512195121,86.58536585365853,58.536585365853654,가성비·빈도성장,60.16260162601627,60대 이상,67.07317073170732
8301,제과점,254,48.838496709216074,43.7007874015748,57.874015748031496,5.118110236220472,61.417322834645674,85.8267716535433,57.874015748031496,가성비·빈도성장,55.51181102362205,60대 이상,84.64566929133859
4020,슈퍼마켓,255,46.9889418728271,36.07843137254902,60.0,10.980392156862745,61.1764705882353,92.15686274509804,56.86274509803921,가성비·빈도성장,52.156862745098046,60대 이상,95.29411764705881
8005,중국음식,255,37.53595612070544,32.94117647058823,51.76470588235295,6.666666666666667,56.07843137254902,78.82352941176471,60.0,가성비·빈도성장,50.588235294117645,60대 이상,67.84313725490196
4004,대형할인점,197,18.10722145358507,4.568527918781726,12.18274111675127,0.5076142131979695,10.152284263959391,25.888324873096447,54.82233502538071,수요수축,74.11167512690355,60대 이상,85.78680203045685
