"행정구역","2026년01월_계_총인구수","2026년01월_계_연령구간인구수","2026년01월_계_0~9세","2026년01월_계_10~19세","2026년01월_계_20~29세","2026년01월_계_30~39세","2026년01월_계_40~49세","2026년01월_계_50~59세","2026년01월_계_60~69세","2026년01월_계_70~79세","2026년01월_계_80~89세","2026년01월_계_90~99세","2026년01월_계_100세 이상","2026년02월_계_총인구수","2026년02월_계_연령구간인구수","2026년02월_계_0~9세","2026년02월_계_10~19세","2026년02월_계_20~29세","2026년02월_계_30~39세","2026년02월_계_40~49세","2026년02월_계_50~59세","2026년02월_계_60~69세","2026년02월_계_70~79세","2026년02월_계_80~89세","2026년02월_계_90~99세","2026년02월_계_100세 이상","2026년03월_계_총인구수","2026년03월_계_연령구간인구수","2026년03월_계_0~9세","2026년03월_계_10~19세","2026년03월_계_20~29세","2026년03월_계_30~39세","2026년03월_계_40~49세","2026년03월_계_50~59세","2026년03월_계_60~69세","2026년03월_계_70~79세","2026년03월_계_80~89세","2026년03월_계_90~99세","2026년03월_계_100세 이상","2026년04월_계_총인구수","2026년04월_계_연령구간인구수","2026년04월_계_0~9세","2026년04월_계_10~19세","2026년04월_계_20~29세","2026년04월_계_30~39세","2026년04월_계_40~49세","2026년04월_계_50~59세","2026년04월_계_60~69세","2026년04월_계_70~79세","2026년04월_계_80~89세","2026년04월_계_90~99세","2026년04월_계_100세 이상","2026년05월_계_총인구수","2026년05월_계_연령구간인구수","2026년05월_계_0~9세","2026년05월_계_10~19세","2026년05월_계_20~29세","2026년05월_계_30~39세","2026년05월_계_40~49세","2026년05월_계_50~59세","2026년05월_계_60~69세","2026년05월_계_70~79세","2026년05월_계_80~89세","2026년05월_계_90~99세","2026년05월_계_100세 이상","2026년06월_계_총인구수","2026년06월_계_연령구간인구수","2026년06월_계_0~9세","2026년06월_계_10~19세","2026년06월_계_20~29세","2026년06월_계_30~39세","2026년06월_계_40~49세","2026년06월_계_50~59세","2026년06월_계_60~69세","2026년06월_계_70~79세","2026년06월_계_80~89세","2026년06월_계_90~99세","2026년06월_계_100세 이상"
"인천광역시 서구검단출장소 (2826500000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"인천광역시 강화군 (2871000000)","69,698","69,698","2,527","4,244","4,136","4,841","6,936","10,709","16,691","11,738","6,471","1,383","22","69,677","69,677","2,543","4,233","4,088","4,840","6,934","10,635","16,706","11,793","6,476","1,406","23","69,615","69,615","2,522","4,203","4,079","4,835","6,889","10,590","16,712","11,879","6,479","1,403","24","69,665","69,665","2,520","4,195","4,073","4,840","6,856","10,593","16,713","11,954","6,479","1,415","27","69,689","69,689","2,528","4,175","4,085","4,832","6,832","10,570","16,709","12,013","6,497","1,421","27","69,681","69,681","2,510","4,179","4,090","4,805","6,818","10,573","16,722","12,051","6,488","1,421","24"
"인천광역시 옹진군 (2872000000)","19,559","19,559","528","876","2,161","1,623","1,882","3,076","4,759","2,999","1,327","312","16","19,455","19,455","513","857","2,129","1,601","1,862","3,062","4,740","3,027","1,336","311","17","19,425","19,425","518","860","2,106","1,595","1,850","3,047","4,723","3,060","1,335","314","17","19,397","19,397","508","861","2,088","1,595","1,850","3,023","4,738","3,067","1,337","315","15","19,376","19,376","507","858","2,053","1,591","1,839","3,028","4,730","3,089","1,349","316","16","19,340","19,340","496","856","2,052","1,566","1,837","3,033","4,721","3,093","1,351","320","15"
"광주광역시  (2900000000)","1,390,658","1,390,658","85,477","143,893","169,719","173,471","212,116","240,961","194,362","110,680","51,414","8,375","190","1,389,235","1,389,235","85,054","143,597","168,694","172,911","211,906","241,028","194,780","111,116","51,464","8,496","189","1,387,619","1,387,619","84,606","143,213","167,515","173,274","210,999","240,296","195,599","111,683","51,664","8,576","194","1,386,567","1,386,567","84,211","143,130","166,820","173,547","210,330","240,115","195,915","112,022","51,635","8,647","195","1,386,379","1,386,379","83,767","143,000","166,577","173,759","210,019","239,719","196,349","112,354","51,911","8,727","197","1,385,460","1,385,460","83,427","142,885","165,942","173,903","209,677","239,520","196,474","112,511","52,197","8,732","192"
"광주광역시 동구 (2911000000)","104,794","104,794","6,525","7,657","13,331","14,194","14,051","15,460","15,417","11,209","6,030","905","15","104,794","104,794","6,482","7,727","13,332","14,131","14,064","15,437","15,423","11,221","6,042","918","17","104,740","104,740","6,484","7,721","13,258","14,199","14,028","15,318","15,466","11,266","6,053","933","14","104,730","104,730","6,492","7,723","13,267","14,187","14,015","15,284","15,475","11,284","6,044","946","13","105,005","105,005","6,498","7,722","13,417","14,217","14,067","15,271","15,490","11,290","6,064","956","13","105,200","105,200","6,535","7,761","13,400","14,280","14,060","15,312","15,474","11,321","6,093","951","13"
"광주광역시 서구 (2914000000)","275,318","275,318","14,568","26,609","35,596","33,863","40,393","49,521","39,760","22,851","10,400","1,716","41","275,730","275,730","14,651","26,595","35,474","33,912","40,472","49,617","39,842","22,957","10,421","1,750","39","275,807","275,807","14,609","26,548","35,275","34,156","40,371","49,465","40,047","23,086","10,445","1,763","42","275,234","275,234","14,430","26,517","35,102","34,131","40,169","49,399","40,114","23,147","10,409","1,773","43","274,925","274,925","14,364","26,428","34,929","34,151","40,067","49,252","40,171","23,234","10,484","1,801","44","274,624","274,624","14,298","26,345","34,805","34,121","40,015","49,160","40,219","23,252","10,560","1,805","44"
"광주광역시 남구 (2915500000)","207,236","207,236","12,654","23,042","21,480","22,981","32,230","32,774","30,470","20,465","9,523","1,572","45","207,015","207,015","12,617","23,014","21,307","22,916","32,255","32,755","30,472","20,517","9,525","1,593","44","206,703","206,703","12,509","22,999","21,114","22,942","32,113","32,721","30,476","20,610","9,561","1,616","42","206,375","206,375","12,444","22,996","21,006","22,864","31,986","32,714","30,437","20,685","9,585","1,615","43","206,083","206,083","12,315","22,999","20,918","22,801","31,923","32,672","30,402","20,733","9,658","1,617","45","205,647","205,647","12,241","22,957","20,789","22,740","31,827","32,635","30,337","20,749","9,714","1,614","44"
"광주광역시 북구 (2917000000)","416,262","416,262","25,427","39,441","49,107","52,839","61,097","70,953","62,906","35,799","16,059","2,581","53","415,473","415,473","25,251","39,333","48,747","52,566","60,965","70,911","62,997","35,962","16,077","2,611","53","414,795","414,795","25,103","39,160","48,420","52,576","60,661","70,681","63,206","36,148","16,149","2,635","56","415,580","415,580","25,183","39,207","48,302","53,009","60,688","70,682","63,379","36,249","16,155","2,671","55","416,326","416,326","25,139","39,269","48,313","53,297","60,732","70,598","63,588","36,394","16,241","2,700","55","416,783","416,783","25,114","39,306","48,199","53,589","60,775","70,581","63,672","36,452","16,329","2,712","54"
"광주광역시 광산구 (2920000000)","387,048","387,048","26,303","47,144","50,205","49,594","64,345","72,253","45,809","20,356","9,402","1,601","36","386,223","386,223","26,053","46,928","49,834","49,386","64,150","72,308","46,046","20,459","9,399","1,624","36","385,574","385,574","25,901","46,785","49,448","49,401","63,826","72,111","46,404","20,573","9,456","1,629","40","384,648","384,648","25,662","46,687","49,143","49,356","63,472","72,036","46,510","20,657","9,442","1,642","41","384,040","384,040","25,451","46,582","49,000","49,293","63,230","71,926","46,698","20,703","9,464","1,653","40","383,206","383,206","25,239","46,516","48,749","49,173","63,000","71,832","46,772","20,737","9,501","1,650","37"
"대전광역시  (3000000000)","1,440,550","1,440,550","86,409","135,652","186,923","195,029","208,676","242,636","208,567","116,181","51,427","8,841","209","1,441,405","1,441,405","86,163","136,079","186,571","194,721","208,398","242,831","208,930","117,115","51,449","8,936","212","1,441,779","1,441,779","85,838","136,196","186,212","195,502","207,474","242,248","209,279","118,122","51,616","9,083","209","1,441,687","1,441,687","85,548","136,091","185,839","196,022","207,001","242,204","209,204","118,820","51,604","9,149","205","1,442,213","1,442,213","85,258","136,078","185,846","196,314","206,830","242,039","209,239","119,480","51,670","9,250","209","1,442,034","1,442,034","85,060","135,827","185,483","196,767","206,836","241,715","209,185","119,844","51,872","9,234","211"
"대전광역시 동구 (3011000000)","218,109","218,109","11,039","18,237","27,678","25,285","29,163","36,310","35,194","22,667","10,824","1,674","38","218,169","218,169","10,920","18,551","27,579","25,185","29,030","36,319","35,224","22,816","10,816","1,693","36","218,319","218,319","10,875","18,756","27,544","25,299","28,837","36,209","35,244","22,976","10,848","1,699","32","218,362","218,362","10,824","18,754","27,570","25,376","28,742","36,189","35,225","23,093","10,849","1,707","33","218,505","218,505","10,777","18,800","27,698","25,342","28,719","36,166","35,168","23,197","10,882","1,721","35","218,251","218,251","10,734","18,686","27,661","25,328","28,682","36,118","35,145","23,235","10,902","1,726","34"
"대전광역시 중구 (3014000000)","225,423","225,423","11,717","19,566","25,063","26,326","30,957","38,622","35,470","24,052","11,669","1,933","48","225,250","225,250","11,649","19,454","25,057","26,241","30,800","38,666","35,500","24,194","11,681","1,961","47","224,992","224,992","11,537","19,417","24,909","26,262","30,672","38,516","35,532","24,344","11,753","2,004","46","224,665","224,665","11,468","19,354","24,791","26,293","30,533","38,513","35,471","24,431","11,749","2,015","47","224,581","224,581","11,427","19,342","24,722","26,288","30,487","38,495","35,467","24,506","11,758","2,039","50","224,273","224,273","11,392","19,275","24,631","26,342","30,437","38,360","35,382","24,567","11,793","2,045","49"
"대전광역시 서구 (3017000000)","463,443","463,443","27,569","46,134","63,282","65,437","69,242","77,109","63,702","34,167","14,226","2,519","56","463,863","463,863","27,509","46,181","63,222","65,370","69,272","77,181","63,844","34,433","14,255","2,536","60","463,616","463,616","27,350","46,143","63,088","65,651","68,856","76,939","63,893","34,757","14,305","2,576","58","463,574","463,574","27,223","46,099","62,980","65,909","68,711","76,904","63,821","34,991","14,302","2,580","54","463,601","463,601","27,090","46,101","62,836","66,110","68,635","76,837","63,837","35,192","14,305","2,603","55","464,359","464,359","27,079","46,161","62,709","66,511","68,764","76,901","63,891","35,328","14,373","2,587","55"
"대전광역시 유성구 (3020000000)","368,354","368,354","28,546","38,433","52,132","58,479","58,108","58,875","44,486","19,802","7,860","1,593","40","369,113","369,113","28,622","38,599","52,077","58,497","58,207","58,955","44,620","20,024","7,857","1,614","41","370,062","370,062","28,650","38,638","52,127","58,873","58,143","59,023","44,813","20,247","7,867","1,639","42","370,610","370,610","28,658","38,674","52,106","59,059","58,152","59,105","44,882","20,410","7,864","1,661","39","371,147","371,147","28,617","38,685","52,238","59,221","58,155","59,124","44,933","20,563","7,893","1,679","39","371,104","371,104","28,517","38,609","52,261","59,245","58,142","59,074","44,924","20,688","7,926","1,676","42"
"대전광역시 대덕구 (3023000000)","165,221","165,221","7,538","13,282","18,768","19,502","21,206","31,720","29,715","15,493","6,848","1,122","27","165,010","165,010","7,463","13,294","18,636","19,428","21,089","31,710","29,742","15,648","6,840","1,132","28","164,790","164,790","7,426","13,242","18,544","19,417","20,966","31,561","29,797","15,798","6,843","1,165","31","164,476","164,476","7,375","13,210","18,392","19,385","20,863","31,493","29,805","15,895","6,840","1,186","32","164,379","164,379","7,347","13,150","18,352","19,353","20,834","31,417","29,834","16,022","6,832","1,208","30","164,047","164,047","7,338","13,096","18,221","19,341","20,811","31,262","29,843","16,026","6,878","1,200","31"
"울산광역시  (3100000000)","1,091,281","1,091,281","66,979","109,625","110,215","136,754","168,593","198,158","179,651","86,773","29,944","4,489","100","1,089,835","1,089,835","66,535","109,145","109,349","136,484","168,264","197,698","180,315","87,434","29,979","4,537","95","1,088,672","1,088,672","66,182","108,762","108,391","136,791","167,689","196,696","181,053","88,297","30,131","4,585","95","1,088,041","1,088,041","65,742","108,829","107,742","136,803","167,342","196,401","181,342","88,946","30,169","4,624","101","1,087,466","1,087,466","65,386","108,841","107,074","136,908","167,071","195,935","181,690","89,513","30,298","4,649","101","1,087,089","1,087,089","65,169","108,812","106,730","136,932","167,127","195,449","181,784","90,008","30,345","4,632","101"
"울산광역시 중구 (3111000000)","203,968","203,968","11,548","18,920","18,954","24,526","29,662","36,468","36,393","19,574","7,037","870","16","203,682","203,682","11,463","18,842","18,777","24,507","29,592","36,358","36,481","19,728","7,031","889","14","203,386","203,386","11,409","18,781","18,563","24,531","29,496","36,182","36,518","19,949","7,033","909","15","203,339","203,339","11,359","18,790","18,463","24,545","29,417","36,124","36,597","20,059","7,036","933","16","203,216","203,216","11,322","18,770","18,329","24,564","29,376","36,022","36,638","20,168","7,060","952","15","203,026","203,026","11,248","18,764","18,264","24,501","29,405","35,904","36,649","20,253","7,075","950","13"
"울산광역시 남구 (3114000000)","304,542","304,542","17,702","27,970","34,377","42,097","44,559","56,085","49,359","23,724","7,611","1,031","27","304,648","304,648","17,745","27,910","34,139","42,218","44,579","55,929","49,542","23,895","7,625","1,041","25","304,570","304,570","17,700","27,856","33,879","42,408","44,481","55,599","49,769","24,102","7,685","1,067","24","304,457","304,457","17,651","27,889","33,665","42,466","44,457","55,423","49,808","24,283","7,715","1,073","27","304,385","304,385","17,575","27,903","33,493","42,579","44,411","55,243","49,875","24,452","7,756","1,071","27","304,337","304,337","17,600","27,892","33,342","42,723","44,462","55,029","49,880","24,550","7,763","1,067","29"
"울산광역시 동구 (3117000000)","148,986","148,986","8,983","16,424","14,229","17,034","26,004","24,238","25,038","13,005","3,557","458","16","148,469","148,469","8,849","16,275","14,133","16,889","25,934","24,158","25,078","13,110","3,569","458","16","148,194","148,194","8,763","16,163","14,054","16,833","25,877","24,063","25,107","13,245","3,613","460","16","147,925","147,925","8,663","16,148","13,953","16,812","25,787","24,028","25,086","13,346","3,626","461","15","147,834","147,834","8,579","16,161","13,902","16,792","25,777","23,982","25,090","13,423","3,651","461","16","147,756","147,756","8,508","16,154","13,866","16,762","25,780","23,975","25,053","13,519","3,665","458","16"
"울산광역시 북구 (3120000000)","214,819","214,819","16,988","25,541","21,260","29,357","37,682","38,138","29,991","11,204","3,984","660","14","214,395","214,395","16,809","25,460","21,047","29,240","37,584","38,116","30,193","11,295","3,972","665","14","214,170","214,170","16,712","25,372","20,875","29,303","37,430","37,903","30,471","11,424","3,989","677","14","214,026","214,026","16,530","25,456","20,704","29,271","37,369","37,899","30,594","11,518","3,990","681","14","213,772","213,772","16,392","25,501","20,482","29,269","37,275","37,804","30,753","11,597","3,996","689","14","213,685","213,685","16,318","25,510","20,427","29,255","37,266","37,713","30,819","11,679","3,997","687","14"
"울산광역시 울주군 (3171000000)","218,966","218,966","11,758","20,770","21,395","23,740","30,686","43,229","38,870","19,266","7,755","1,470","27","218,641","218,641","11,669","20,658","21,253","23,630","30,575","43,137","39,021","19,406","7,782","1,484","26","218,352","218,352","11,598","20,590","21,020","23,716","30,405","42,949","39,188","19,577","7,811","1,472","26","218,294","218,294","11,539","20,546","20,957","23,709","30,312","42,927","39,257","19,740","7,802","1,476","29","218,259","218,259","11,518","20,506","20,868","23,704","30,232","42,884","39,334","19,873","7,835","1,476","29","218,285","218,285","11,495","20,492","20,831","23,691","30,214","42,828","39,383","20,007","7,845","1,470","29"
"세종특별자치시  (3600000000)","391,477","391,477","38,336","54,150","36,390","57,600","76,127","59,382","39,481","19,852","8,312","1,810","37","391,240","391,240","38,093","54,103","36,310","57,190","76,144","59,668","39,520","20,050","8,309","1,817","36","391,072","391,072","37,853","53,999","36,316","57,168","75,812","59,857","39,646","20,193","8,351","1,841","36","391,024","391,024","37,636","54,046","36,284","57,159","75,691","59,961","39,716","20,309","8,324","1,864","34","391,064","391,064","37,504","54,128","36,222","57,060","75,666","60,033","39,819","20,388","8,338","1,873","33","390,923","390,923","37,316","54,224","36,172","56,878","75,664","60,149","39,803","20,458","8,358","1,866","35"
"세종특별자치시  (3611000000)","391,477","391,477","38,336","54,150","36,390","57,600","76,127","59,382","39,481","19,852","8,312","1,810","37","391,240","391,240","38,093","54,103","36,310","57,190","76,144","59,668","39,520","20,050","8,309","1,817","36","391,072","391,072","37,853","53,999","36,316","57,168","75,812","59,857","39,646","20,193","8,351","1,841","36","391,024","391,024","37,636","54,046","36,284","57,159","75,691","59,961","39,716","20,309","8,324","1,864","34","391,064","391,064","37,504","54,128","36,222","57,060","75,666","60,033","39,819","20,388","8,338","1,873","33","390,923","390,923","37,316","54,224","36,172","56,878","75,664","60,149","39,803","20,458","8,358","1,866","35"
"경기도  (4100000000)","13,736,642","13,736,642","886,083","1,327,057","1,551,620","1,925,571","2,180,076","2,361,312","1,970,745","997,380","455,319","79,439","2,040","13,742,072","13,742,072","883,166","1,326,032","1,546,469","1,923,270","2,178,560","2,363,342","1,977,759","1,004,693","456,265","80,451","2,065","13,745,673","13,745,673","880,084","1,324,779","1,539,928","1,928,947","2,172,283","2,359,557","1,985,205","1,013,570","457,645","81,596","2,079","13,751,098","13,751,098","877,674","1,325,139","1,534,525","1,932,298","2,169,232","2,360,316","1,989,893","1,019,142","458,470","82,307","2,102","13,755,126","13,755,126","874,883","1,325,114","1,529,450","1,934,724","2,167,351","2,359,932","1,993,983","1,024,426","460,132","83,024","2,107","13,761,783","13,761,783","872,921","1,326,163","1,526,085","1,937,513","2,167,602","2,358,937","1,996,681","1,028,640","461,925","83,201","2,115"
"북부출장소  (4110500000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경기도 수원시 (4111000000)","1,186,010","1,186,010","72,183","110,698","161,222","187,823","184,195","200,634","157,813","73,381","32,387","5,516","158","1,186,084","1,186,084","71,796","110,720","160,907","187,484","183,975","200,566","158,426","74,007","32,468","5,575","160","1,186,167","1,186,167","71,486","110,533","160,446","188,056","183,424","200,053","159,074","74,677","32,576","5,686","156","1,186,150","1,186,150","71,261","110,346","159,969","188,458","182,998","200,059","159,431","75,103","32,625","5,747","153","1,186,120","1,186,120","71,035","110,247","159,507","188,804","182,623","199,876","159,750","75,562","32,774","5,790","152","1,185,770","1,185,770","70,873","110,100","159,031","189,037","182,464","199,613","160,001","75,824","32,890","5,782","155"
"경기도 수원시 장안구 (4111100000)","270,954","270,954","13,654","25,099","37,676","35,531","38,276","49,539","40,198","19,625","9,603","1,712","41","270,944","270,944","13,602","25,163","37,590","35,403","38,181","49,434","40,370","19,810","9,605","1,745","41","270,705","270,705","13,485","25,090","37,492","35,447","37,991","49,254","40,514","19,978","9,624","1,791","39","270,439","270,439","13,441","24,998","37,341","35,506","37,824","49,152","40,618","20,065","9,647","1,810","37","270,245","270,245","13,386","24,890","37,257","35,563","37,678","49,054","40,746","20,159","9,662","1,814","36","269,984","269,984","13,353","24,796","37,143","35,565","37,609","48,937","40,812","20,234","9,684","1,816","35"
"경기도 수원시 권선구 (4111300000)","360,806","360,806","21,041","31,781","44,806","57,518","56,219","61,285","52,721","24,013","9,731","1,646","45","360,535","360,535","20,860","31,731","44,603","57,417","56,082","61,261","52,891","24,225","9,772","1,647","46","360,383","360,383","20,709","31,637","44,368","57,518","55,922","61,169","53,091","24,447","9,810","1,666","46","360,365","360,365","20,596","31,640","44,158","57,588","55,826","61,150","53,241","24,649","9,805","1,669","43","360,343","360,343","20,493","31,662","44,013","57,691","55,721","61,060","53,327","24,811","9,854","1,668","43","360,286","360,286","20,448","31,643","43,883","57,790","55,644","60,933","53,464","24,894","9,884","1,662","41"
"경기도 수원시 팔달구 (4111500000)","191,972","191,972","10,358","13,054","27,758","32,232","26,497","31,867","27,565","14,870","6,707","1,027","37","192,473","192,473","10,260","13,109","27,851","32,288","26,527","31,921","27,724","14,987","6,726","1,043","37","192,974","192,974","10,275","13,133","27,907","32,500","26,478","31,840","27,859","15,119","6,759","1,067","37","193,197","193,197","10,235","13,127","27,890","32,633","26,498","31,862","27,889","15,180","6,753","1,090","40","193,364","193,364","10,225","13,107","27,840","32,708","26,487","31,846","27,918","15,282","6,809","1,101","41","193,401","193,401","10,186","13,123","27,770","32,776","26,455","31,839","27,966","15,307","6,846","1,091","42"
"경기도 수원시 영통구 (4111700000)","362,278","362,278","27,130","40,764","50,982","62,542","63,203","57,943","37,329","14,873","6,346","1,131","35","362,132","362,132","27,074","40,717","50,863","62,376","63,185","57,950","37,441","14,985","6,365","1,140","36","362,105","362,105","27,017","40,673","50,679","62,591","63,033","57,790","37,610","15,133","6,383","1,162","34","362,149","362,149","26,989","40,581","50,580","62,731","62,850","57,895","37,683","15,209","6,420","1,178","33","362,168","362,168","26,931","40,588","50,397","62,842","62,737","57,916","37,759","15,310","6,449","1,207","32","362,099","362,099","26,886","40,538","50,235","62,906","62,756","57,904","37,759","15,389","6,476","1,213","37"
"경기도 성남시 (4113000000)","906,160","906,160","54,133","81,248","105,035","134,443","140,999","150,778","130,346","71,688","31,728","5,605","157","906,201","906,201","54,122","81,189","104,487","134,431","140,914","150,841","130,506","72,145","31,742","5,674","150","905,493","905,493","54,019","81,154","103,753","134,825","140,365","150,312","130,654","72,681","31,849","5,729","152","904,576","904,576","53,909","81,056","103,124","134,802","140,031","150,147","130,734","72,986","31,862","5,772","153","903,747","903,747","53,791","80,922","102,572","134,645","139,833","149,912","130,834","73,284","31,979","5,823","152","902,344","902,344","53,754","80,692","102,096","134,397","139,684","149,609","130,629","73,429","32,087","5,812","155"
"경기도 성남시 수정구 (4113100000)","233,273","233,273","12,911","15,946","27,869","35,876","33,953","38,268","37,371","21,354","8,456","1,243","26","234,087","234,087","13,096","16,020","27,754","36,109","34,089","38,313","37,409","21,527","8,476","1,269","25","234,336","234,336","13,120","16,110","27,659","36,236","34,008","38,138","37,526","21,725","8,515","1,268","31","234,182","234,182","13,097","16,071","27,472","36,244","33,910","38,134","37,531","21,873","8,544","1,275","31","234,328","234,328","13,081","16,082","27,343","36,312","33,893","38,143","37,578","22,003","8,576","1,288","29","234,639","234,639","13,171","16,092","27,242","36,460","33,950","38,086","37,624","22,067","8,627","1,291","29"
"경기도 성남시 중원구 (4113300000)","203,016","203,016","10,099","13,960","23,614","31,046","28,931","33,667","34,132","18,819","7,643","1,061","44","202,679","202,679","9,964","13,941","23,535","30,939","28,764","33,656","34,160","18,955","7,648","1,076","41","202,142","202,142","9,911","13,894","23,292","30,986","28,573","33,419","34,192","19,054","7,675","1,105","41","201,767","201,767","9,876","13,875","23,144","30,999","28,425","33,336","34,181","19,106","7,663","1,117","45","201,051","201,051","9,821","13,817","22,918","30,946","28,311","33,114","34,128","19,156","7,665","1,130","45","200,064","200,064","9,742","13,724","22,724","30,796","28,233","32,886","33,942","19,186","7,662","1,124","45"
"경기도 성남시 분당구 (4113500000)","469,871","469,871","31,123","51,342","53,552","67,521","78,115","78,843","58,843","31,515","15,629","3,301","87","469,435","469,435","31,062","51,228","53,198","67,383","78,061","78,872","58,937","31,663","15,618","3,329","84","469,015","469,015","30,988","51,150","52,802","67,603","77,784","78,755","58,936","31,902","15,659","3,356","80","468,627","468,627","30,936","51,110","52,508","67,559","77,696","78,677","59,022","32,007","15,655","3,380","77","468,368","468,368","30,889","51,023","52,311","67,387","77,629","78,655","59,128","32,125","15,738","3,405","78","467,641","467,641","30,841","50,876","52,130","67,141","77,501","78,637","59,063","32,176","15,798","3,397","81"
"경기도 의정부시 (4115000000)","461,541","461,541","26,754","39,684","53,420","60,719","67,626","81,847","71,524","38,422","18,591","2,889","65","461,581","461,581","26,604","39,691","53,210","60,578","67,587","81,873","71,727","38,676","18,657","2,914","64","461,460","461,460","26,480","39,582","52,922","60,671","67,452","81,725","71,933","38,956","18,726","2,950","63","461,741","461,741","26,449","39,529","52,710","60,798","67,395","81,757","72,144","39,170","18,750","2,978","61","461,816","461,816","26,378","39,457","52,467","60,905","67,362","81,682","72,382","39,326","18,818","2,975","64","461,917","461,917","26,309","39,441","52,281","60,921","67,438","81,564","72,533","39,488","18,884","2,994","64"
"경기도 안양시 (4117000000)","563,348","563,348","35,130","49,209","63,727","86,854","83,113","94,296","86,699","43,168","17,787","3,295","70","563,393","563,393","35,193","49,142","63,326","86,795","83,159","94,105","87,021","43,488","17,766","3,329","69","562,666","562,666","35,088","49,021","62,852","86,943","82,819","93,697","87,151","43,865","17,833","3,323","74","562,409","562,409","35,129","48,874","62,547","87,061","82,707","93,562","87,172","44,076","17,853","3,351","77","562,341","562,341","35,133","48,794","62,272","87,228","82,688","93,359","87,196","44,275","17,937","3,384","75","562,305","562,305","35,174","48,697","62,098","87,426","82,723","93,082","87,178","44,486","17,984","3,380","77"
"경기도 안양시 만안구 (4117100000)","233,633","233,633","12,468","16,230","26,744","35,111","31,370","39,302","40,418","21,440","8,999","1,516","35","233,578","233,578","12,422","16,273","26,593","35,022","31,304","39,223","40,600","21,576","9,004","1,527","34","233,364","233,364","12,360","16,248","26,426","35,040","31,153","39,061","40,674","21,795","9,033","1,535","39","233,299","233,299","12,392","16,194","26,299","35,090","31,043","39,031","40,698","21,907","9,058","1,546","41","233,415","233,415","12,427","16,151","26,192","35,205","31,098","38,908","40,715","21,994","9,128","1,556","41","233,711","233,711","12,486","16,086","26,182","35,385","31,130","38,811","40,774","22,111","9,149","1,554","43"
"경기도 안양시 동안구 (4117300000)","329,715","329,715","22,662","32,979","36,983","51,743","51,743","54,994","46,281","21,728","8,788","1,779","35","329,815","329,815","22,771","32,869","36,733","51,773","51,855","54,882","46,421","21,912","8,762","1,802","35","329,302","329,302","22,728","32,773","36,426","51,903","51,666","54,636","46,477","22,070","8,800","1,788","35","329,110","329,110","22,737","32,680","36,248","51,971","51,664","54,531","46,474","22,169","8,795","1,805","36","328,926","328,926","22,706","32,643","36,080","52,023","51,590","54,451","46,481","22,281","8,809","1,828","34","328,594","328,594","22,688","32,611","35,916","52,041","51,593","54,271","46,404","22,375","8,835","1,826","34"
"경기도 부천시 (4119000000)","758,212","758,212","38,510","61,887","84,964","104,076","111,019","132,681","132,369","63,445","24,807","4,338","116","757,444","757,444","38,273","61,698","84,492","103,843","110,661","132,537","132,695","63,915","24,819","4,394","117","756,701","756,701","38,075","61,524","84,015","103,926","110,175","132,112","132,810","64,614","24,879","4,456","115","756,356","756,356","37,955","61,475","83,545","104,041","110,046","131,832","132,916","65,009","24,929","4,493","115","756,037","756,037","37,778","61,387","83,121","104,190","109,865","131,568","132,953","65,500","25,033","4,529","113","755,453","755,453","37,637","61,286","82,659","104,327","109,763","131,252","132,886","65,862","25,128","4,539","114"
"경기도 부천시 원미구 (4119200000)","384,011","384,011","19,640","31,768","45,329","55,129","56,716","66,567","65,251","30,025","11,408","2,119","59","383,544","383,544","19,502","31,690","45,050","54,972","56,576","66,464","65,394","30,283","11,411","2,144","58","383,164","383,164","19,370","31,642","44,730","55,051","56,346","66,265","65,462","30,624","11,446","2,173","55","382,903","382,903","19,351","31,613","44,399","55,051","56,316","66,117","65,524","30,807","11,462","2,206","57","382,692","382,692","19,286","31,594","44,205","55,025","56,241","66,001","65,523","31,044","11,502","2,214","57","382,339","382,339","19,244","31,534","43,958","55,060","56,173","65,840","65,470","31,232","11,548","2,223","57"
"경기도 부천시 소사구 (4119400000)","225,290","225,290","13,302","19,513","22,556","30,164","35,242","37,035","37,967","20,375","7,761","1,338","37","225,010","225,010","13,202","19,444","22,472","30,065","35,064","37,065","38,028","20,511","7,763","1,357","39","224,842","224,842","13,145","19,374","22,408","30,045","34,931","36,975","38,050","20,722","7,784","1,368","40","224,628","224,628","13,083","19,388","22,248","29,934","34,905","36,955","38,055","20,835","7,819","1,367","39","224,399","224,399","13,008","19,370","22,044","29,876","34,874","36,905","38,049","20,991","7,856","1,389","37","224,202","224,202","12,948","19,351","21,882","29,913","34,836","36,828","38,008","21,121","7,892","1,385","38"
