STRD_YYMM,target_month,SIDO_NM,CCG_NM,TP_BUZ_NM,amt_log_growth_1m,amt_log_growth_2m,cnt_log_growth_1m,cnt_log_growth_2m,ticket_log_growth_1m,ticket_log_growth_2m,customer_hhi,customer_hhi_log_growth_1m,largest_segment_share,supply_count,supply_log_growth_1m,throughput_log_growth_1m,demand_decline,ticket_pressure,customer_concentration,competition_pressure
202603,202604,강원특별자치도,강릉시,갈비전문점,-0.23005032904947598,-0.053916350293063076,-0.05236798551731603,-0.03461589578466073,-0.17749697698254074,-0.019179950191738904,0.1431602919103566,0.006165011299956391,0.2158273381294964,,,,0,0,0,
202604,202605,강원특별자치도,강릉시,갈비전문점,0.004527688141120478,-0.11276132045417775,-0.0035906681307285027,-0.027979326824022266,0.008131202955000916,-0.08468288701376991,0.14900493946226329,0.005099684908063562,0.19133574007220217,,,,0,0,0,
202605,202606,강원특별자치도,강릉시,갈비전문점,0.07931585697421184,0.04192177255766616,0.11217179848859704,0.05429056517893427,-0.033238546717822004,-0.012553671881410544,0.11521331945889698,-0.029850593266646255,0.16451612903225807,,,,0,0,0,
202603,202604,강원특별자치도,강릉시,대형할인점,-0.15074570111656627,-0.08570801503010372,-0.05205125076202677,-0.056413421115283136,-0.098689296644908,-0.029290800486605484,0.10031031469522157,0.003631826947498598,0.16952739242887374,,,,0,0,1,
202604,202605,강원특별자치도,강릉시,대형할인점,-0.08358664630268464,-0.11716617370962545,-0.07207088380708093,-0.06206106728455385,-0.011511102086947389,-0.05510019936592769,0.10296019742650343,0.002405409589414431,0.1723419041000695,,,,0,0,0,
202605,202606,강원특별자치도,강릉시,대형할인점,0.11729702790421115,0.016855190800763253,0.07342187816804646,0.0006754971804827647,0.04386967393364927,0.01617928592335094,0.0999509650920699,-0.002732052256490314,0.16425007337833872,,,,1,0,0,
202603,202604,강원특별자치도,강릉시,서양음식,-0.17565787724619852,-0.0965060661650412,-0.07929458683819668,-0.044471835167978035,-0.09635608689409736,-0.05203034138691276,0.08228433636987854,-0.0010667689650921963,0.10569635188069282,,,,0,0,0,
202604,202605,강원특별자치도,강릉시,서양음식,0.037408375453910736,-0.0691247508961439,0.0635640833762281,-0.00786525173098429,-0.02615441867658319,-0.061255252785340275,0.08189469421714268,-0.0003600831090579959,0.10784070576980992,,,,0,0,0,
202605,202606,강원특별자치도,강릉시,서양음식,0.2604389896606989,0.14892368255730482,0.21803036749390436,0.14079722543506623,0.0424038788729586,0.008124730098187705,0.08232804010915393,0.0004004633080776504,0.10623704621696117,,,,0,0,0,
202603,202604,강원특별자치도,강릉시,슈퍼마켓,-0.0664786861746478,-0.0362367761079323,0.04821286298191296,-0.001197084041176133,-0.11468889907743396,-0.035038562638117554,0.12076368480489483,0.0009478278723148992,0.19191167123685693,121.0,-0.008163310639160315,-0.05824818300623491,0,0,0,0.0
202604,202605,강원특별자치도,강릉시,슈퍼마켓,0.0017936798388618058,-0.032342503167893,0.00018157717987854483,0.024197220080895754,0.0016120466343227946,-0.05653842622155558,0.12212849274928267,0.0012170073323170827,0.19323855692938977,121.0,0.0,0.0017936797110209568,0,0,0,0.0
202605,202606,강원특별자치도,강릉시,슈퍼마켓,0.09336625067584237,0.047579965257352086,0.07461750912789178,0.03739954315388516,0.01874682913696013,0.010179437885641462,0.12101143005533094,-0.00099598136963025,0.18827514154758695,120.0,-0.008230499136515412,0.10166504660252684,0,0,0,0.0
202603,202604,강원특별자치도,강릉시,스넥,-0.18773579506821392,-0.09645990925817571,-0.1573608356261822,-0.08677611441301902,-0.030366902248388783,-0.009679773225921728,0.08675199128541342,-0.0012952573737825407,0.12030534351145038,,,,0,0,0,
202604,202605,강원특별자치도,강릉시,스넥,0.029133987887046686,-0.07930090359058362,0.008685888013951981,-0.0743374738061151,0.020446568126905262,-0.00496016706074176,0.08699306542001461,0.0002218053445098428,0.12108108108108108,,,,0,1,0,
202605,202606,강원특별자치도,강릉시,스넥,0.26005245123935694,0.1445932195632018,0.2556962159055125,0.13219105195973224,0.004346236876996201,0.012396402501950732,0.08810655243234587,0.001023849299095575,0.11639821853129291,,,,0,0,0,
202603,202604,강원특별자치도,강릉시,일반한식,-0.1040936200050524,-0.09213853080421508,-0.08007470777593895,-0.0763414389143886,-0.024017691120267415,-0.01579612225258753,0.10458888037270128,0.00584140552828874,0.17270299278636148,,,,0,0,0,
202604,202605,강원특별자치도,강릉시,일반한식,0.07666110232869627,-0.013716258838178064,0.0660687790988419,-0.007002964338548523,0.010591533427744437,-0.006713078846261489,0.10501603511075498,0.0003866344977616759,0.17654480599386282,,,,0,0,0,
202605,202606,강원특별자치도,강릉시,일반한식,0.2044971846474617,0.14057914348807898,0.1740854363900297,0.12007710774443581,0.030409778523400988,0.020500655975572712,0.10060618356068236,-0.003998742294890792,0.16014893923331633,,,,0,0,0,
202603,202604,강원특별자치도,강릉시,일식회집,-0.2109234836010927,-0.1244364557427442,-0.11835064959544006,-0.07251594089249114,-0.09255936912453855,-0.051912421657342556,0.09318932714718547,-5.207066777597469e-05,0.13820686590378847,,,,0,0,0,
202604,202605,강원특별자치도,강릉시,일식회집,0.225116818992948,0.00709666769592765,0.1580153577240715,0.019832354064315716,0.06708444155800031,-0.01273746378326912,0.0942992446471983,0.0010147871029571875,0.1455131853538228,,,,0,0,0,
202605,202606,강원특별자치도,강릉시,일식회집,0.24378551570387685,0.23445116734841243,0.19982531395498704,0.17892033583952927,0.043942536495864104,0.055513489026932206,0.09523983232616876,0.0008591650605566659,0.14222463880689762,,,,0,1,0,
202603,202604,강원특별자치도,강릉시,제과점,-0.4017545276240071,-0.09333389236653034,-0.12374987994431841,-0.05881368407556131,-0.2779825113668526,-0.03451525864246907,0.08404182127937641,-0.0019141122142368183,0.10995169082125604,145.0,0.01379332213233564,-0.41564347876760266,0,0,0,0.0
202604,202605,강원특별자치도,강릉시,제과점,0.07398586434236165,-0.16388433164082272,0.07009044454469837,-0.02682971769981002,0.0038918856469400964,-0.13704531285995625,0.08445142705513638,0.0003777791615870024,0.11354321488087195,146.0,0.0068259650703996755,0.0671129543488238,0,1,0,0.0
202605,202606,강원특별자치도,강릉시,제과점,0.11068882730328511,0.09233734582282338,0.12072112801128654,0.09540578627799245,-0.010036738410516222,-0.0030724263817880626,0.08402940214228267,-0.00038923555375687535,0.10841449784448347,146.0,0.0,0.11068878091944967,1,0,0,1.0
202603,202604,강원특별자치도,강릉시,중국음식,-0.002465772443720482,-0.024361049565266413,0.094507718881232,0.017010757474303695,-0.09697896761820957,-0.04137190477876285,0.09909757838555325,-0.0022959169200799934,0.17644959857270295,156.0,-0.006349227678659197,0.003924023654620967,0,0,0,0.0
202604,202605,강원특별자치도,강릉시,중국음식,-0.08018348307653156,-0.04132462776012602,-0.05020942077088719,0.0221491490551724,-0.02996836141609016,-0.06347366451714986,0.09982208650540515,0.0006589673625982534,0.17793827971109652,155.0,-0.006389798098770605,-0.07375255423008298,0,0,0,0.0
202605,202606,강원특별자치도,강릉시,중국음식,0.128348513613048,0.02408251526825822,0.07835304238840912,0.014071810808760965,0.04998657319295319,0.010009105888431513,0.10005576914252874,0.00021245055710941707,0.1795316565481353,155.0,0.0,0.128348448324493,0,0,0,0.0
202603,202604,강원특별자치도,강릉시,편의점,0.02487495959715247,-0.014683315250316298,0.06887726090530144,0.005322979020101037,-0.043997990919733,-0.020004188041427007,0.08924857223257891,-0.002482927721157324,0.1594317907106295,332.0,-0.005988041844622316,0.03088097771568421,0,0,1,0.0
202604,202605,강원특별자치도,강릉시,편의점,0.021778058854241777,0.023326509225697123,0.07019071942577604,0.06953399016553874,-0.048407618258968554,-0.04620280458935078,0.08931446114398613,6.048841407649275e-05,0.16101470717918068,330.0,-0.006024114603381037,0.027820368111987293,0,0,0,0.0
202605,202606,강원특별자치도,강릉시,편의점,0.15446166144051077,0.08811986014737627,0.12652445475785967,0.09835758709181786,0.02793347745560304,-0.010237070401682757,0.08816326492226326,-0.0010573668012283655,0.1545830113663344,330.0,0.0,0.15446163508581456,0,0,0,0.0
202605,202606,강원특별자치도,고성군,갈비전문점,0.012739009548953462,-0.07617027285798272,0.2876820724517808,0.06676569631226137,-0.2974110178295568,-0.14771835569806235,1.0,0.0,1.0,,,,0,1,0,
202603,202604,강원특별자치도,고성군,서양음식,-0.15174136756092338,-0.08770665976227932,-0.061134817232341376,-0.03655504149506239,-0.09059653281019386,-0.05114583315365362,0.08150087447354677,-0.003383538170023931,0.10560237977193852,,,,0,0,0,
202604,202605,강원특별자치도,고성군,서양음식,0.1321694474659978,-0.009785960047462794,0.14638937963262855,0.042627281200143585,-0.014230337211484922,-0.05241343501083939,0.08135348412803947,-0.00013629243702821536,0.10827980014275518,,,,0,0,1,
202605,202606,강원특별자치도,고성군,서양음식,0.4959996814322203,0.31408456444910904,0.41245888965278965,0.2794241346427091,0.08351186753881201,0.034640765163663545,0.0828593121540337,0.001391571357105409,0.11633511316921041,,,,0,0,0,
202603,202604,강원특별자치도,고성군,슈퍼마켓,-0.04551923359685617,0.0696251474559837,-0.026856737837247735,0.03447085309873632,-0.01864218372799087,0.035126117618496266,0.1432145013553269,0.0033881135780869653,0.24086021505376345,22.0,0.0,-0.045519185773251536,0,0,1,0.0
202604,202605,강원특별자치도,고성군,슈퍼마켓,0.19973976078920685,0.07711026359617534,0.20288236617438749,0.08801281416856988,-0.0032739846855545096,-0.010958084206772689,0.1464990527894008,0.0028689647061269086,0.26565242832065533,21.0,-0.04445176257083361,0.2462595399287899,0,1,0,0.0
202605,202606,강원특별자치도,고성군,슈퍼마켓,0.26661081875527515,0.233175289772241,0.33688986034831014,0.2698861132613488,-0.07044114704668836,-0.03685756586612143,0.11985023823831367,-0.02351803663204978,0.19131161236424393,21.0,0.0,0.2666106225870397,1,0,1,0.0
202603,202604,강원특별자치도,고성군,스넥,-0.29228849560780645,-0.22025635645209185,-0.34181092130658275,-0.1999928211717692,0.04968964860891312,-0.02016606888878325,0.1018436439225231,0.0024299620104000913,0.1628588166373755,,,,0,0,0,
202604,202605,강원특별자치도,고성군,스넥,0.21518146003857197,-0.03855351778461724,0.1756640033218977,-0.08307345899234253,0.03942129817254347,0.044555473390728295,0.09517449546933576,-0.006071109580840117,0.13857493857493858,,,,0,1,1,
202605,202606,강원특별자치도,고성군,스넥,0.39149736676080593,0.30333941339968895,0.4210599660660712,0.29836198469398445,-0.0297301024462584,0.004845597863142537,0.10296696169308442,0.007090079523106627,0.16027088036117382,,,,0,0,0,
202603,202604,강원특별자치도,고성군,일반한식,-0.14422665179949234,-0.08124386058443456,-0.046433787676861016,-0.059026158543185936,-0.09778611211758736,-0.022211374797184824,0.1244426704611701,0.005599459881700464,0.23008010118043845,,,,0,0,1,
202604,202605,강원특별자치도,고성군,일반한식,0.16061010689716326,0.008191727548835459,0.1560007356309825,0.05478347397706074,0.0045940511807103235,-0.04659603046843852,0.12616823904101293,0.001533422690417452,0.23660955816050497,,,,0,0,0,
202605,202606,강원특별자치도,고성군,일반한식,0.4156202273926546,0.2881151671449089,0.34548644718097954,0.250743591405981,0.07010601460774879,0.03735003289422956,0.11923626015043441,-0.00617438943889978,0.2121656986021574,,,,0,0,0,
202603,202604,강원특별자치도,고성군,일식회집,-0.22306066074092,-0.0556964212691593,-0.10733484996154363,0.016746374390557595,-0.1155904115293005,-0.07246455751684255,0.13725537973141372,-0.005252211802382861,0.24538258575197888,,,,0,0,0,
202604,202605,강원특별자치도,고성군,일식회집,0.34202189853407106,0.05948061889657552,0.3311882084746074,0.11192667925653188,0.010461714937505917,-0.05256434829589729,0.13802442033976126,0.0006759965412686808,0.2585227272727273,,,,0,1,0,
